"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Django extensions for Cardano","280","₳41,139,829","₳41,776,044","NO","₳52,000","NOT FUNDED","₳743","Approval Threshold"
"The Smart Bounty API for Fair Reward Distribution Among Developers","276","₳38,639,476","₳33,379,133","NO","₳180,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano on the Go - Navigate Blockchain Anywhere","296","₳38,475,908","₳42,005,776","NO","₳116,550","NOT FUNDED","₳743","Approval Threshold"
"AI-Powered Cardano Documentation Portal","301","₳38,247,357","₳35,561,021","NO","₳92,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano CLI GUI","320","₳38,136,958","₳31,467,971","NO","₳150,000","NOT FUNDED","₳743","Approval Threshold"
"Decentralized Wallet React Component by Mandala","280","₳37,692,183","₳25,837,462","NO","₳120,000","NOT FUNDED","₳743","Approval Threshold"
"CAP: Cardano Analytics Platform","309","₳37,523,588","₳48,803,389","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
"OrionPay: URL-encoded payments layer SDK for B2C and D2C usecases on Cardano","257","₳37,154,682","₳45,894,447","NO","₳95,000","NOT FUNDED","₳743","Approval Threshold"
"Golang SDK for CardanoBI API","271","₳36,729,198","₳53,507,975","NO","₳19,950","NOT FUNDED","₳743","Approval Threshold"
"Open-Source Solution for Porting-IN Communities from other chains (like Algorand, Solana, Ethereum, Polygon etc.)","262","₳36,499,773","₳35,716,160","NO","₳25,000","NOT FUNDED","₳743","Approval Threshold"
"SDK for interaction with JamOnBread's NFT API","246","₳36,260,130","₳36,271,931","NO","₳70,000","NOT FUNDED","₳743","Approval Threshold"
".NET SDK for CardanoBI API","288","₳35,997,387","₳35,470,007","NO","₳19,950","NOT FUNDED","₳743","Approval Threshold"
"Bind-friendly C Library for UPLC (Untyped Plutus Core) code execution","292","₳35,958,844","₳37,784,932","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
"Yepple- Free & Fast NFT Metadata Updates for Modern Projects","298","₳35,401,428","₳48,232,498","NO","₳95,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano-wallet Flutter SDK","286","₳35,240,474","₳54,023,771","NO","₳189,000","NOT FUNDED","₳743","Approval Threshold"
"Reference Open Source DApp implemented using multiple popular OnChain & OffChain frameworks (from PlutusTx and Atlas to Aiken and Lucid)","263","₳35,176,085","₳36,850,667","NO","₳19,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano Developer Grants Initiative: Empowering Innovation and Growth","240","₳35,024,447","₳42,481,351","NO","₳100,000","NOT FUNDED","₳743","Approval Threshold"
"Gamechanger: Inception IDE","272","₳35,008,484","₳34,175,521","NO","₳100,000","NOT FUNDED","₳743","Approval Threshold"
"BALANCE - Stake Flow Charts - [Open Source]","255","₳34,519,681","₳32,331,092","NO","₳40,000","NOT FUNDED","₳743","Approval Threshold"
"KURAT TECH: Redefining Entertainment in Ethiopia with Cardano","255","₳34,381,085","₳48,084,401","NO","₳175,000","NOT FUNDED","₳743","Approval Threshold"
"AI NFT Code Generator (No Code)","272","₳33,891,425","₳38,283,859","NO","₳87,600","NOT FUNDED","₳743","Approval Threshold"
