"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"[Spidex] AI Copilot for Cardano DeFi & SDK for builders","138","₳19,861,251","₳12,139,261","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Shutter API: Encryption-as-a-Service for Cardano (DeFi POC)","215","₳19,559,650","₳10,193,791","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"AI-powered privacy & compliance testing for Midnight","130","₳19,401,708","₳11,246,711","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"“Plutus Playground Templates Library”","93","₳18,995,205","₳6,596,434","NO","₳42,000","NOT FUNDED","₳11,166","Approval Threshold"
"Zeus AI SDK: Supercharging Devs on Cardano","128","₳18,434,939","₳7,343,651","NO","₳90,000","NOT FUNDED","₳11,166","Approval Threshold"
"[BBO] OpenMCP Cardano: Enabling AI-ready onchain data access","294","₳18,405,494","₳10,790,308","NO","₳84,600","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano SDK for Mobile dApp Development","195","₳18,371,653","₳5,403,140","NO","₳92,000","NOT FUNDED","₳11,166","Approval Threshold"
"Gamechanger: Instant dApp, build for any device fast","133","₳18,337,448","₳12,560,583","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Advanced Cardano Smart Contract Analytics & Dashboard","100","₳18,300,810","₳6,229,241","NO","₳85,000","NOT FUNDED","₳11,166","Approval Threshold"
"Midnight privacy Vote Base research","136","₳18,242,777","₳6,105,973","NO","₳86,319","NOT FUNDED","₳11,166","Approval Threshold"
"Onboarding to Web3: Modular Applications for Web2 Builders","114","₳18,202,941","₳8,540,398","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"DRep Governance Console","129","₳18,048,026","₳8,479,108","NO","₳72,000","NOT FUNDED","₳11,166","Approval Threshold"
"Coxylib.js - Simplifying Cardano DApp Development","129","₳17,994,802","₳12,772,105","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Shopify Token-Gated Commerce Plugin","133","₳17,896,285","₳15,533,753","NO","₳99,850","NOT FUNDED","₳11,166","Approval Threshold"
"Cexplorer: Public Native Asset Img Thumbnail Server","141","₳17,810,804","₳11,361,458","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Frictionless Onboarding: Open-Source Web2 Login to Wallet","143","₳17,796,518","₳31,720,454","NO","₳50,000","NOT FUNDED","₳11,166","Approval Threshold"
"Aiken Playground - Online IDE","137","₳17,718,481","₳8,403,103","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano Identity: A Secure WordPress Plugin & Token-Gating","133","₳17,707,795","₳7,457,764","NO","₳75,000","NOT FUNDED","₳11,166","Approval Threshold"
"Wolfram Plutus RAG: The AI-Powered Knowledge Engine","122","₳17,598,313","₳6,741,716","NO","₳40,000","NOT FUNDED","₳11,166","Approval Threshold"
"UPLC Stepper — The Cardano Smart Contract Debugger","106","₳17,579,809","₳8,660,244","NO","₳42,000","NOT FUNDED","₳11,166","Approval Threshold"
"Add datalog support and power to cardano developers","97","₳17,512,188","₳12,682,103","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Connect The Dots: Cardano Integration For Drupal","135","₳17,450,300","₳9,825,010","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"ZK-CAD Prior-Art Vault","105","₳17,171,402","₳13,307,767","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Enhanced MCP Server for Aiken-Plutus Development on eUTxO","108","₳17,077,671","₳23,424,499","NO","₳93,000","NOT FUNDED","₳11,166","Approval Threshold"
"stealthWallet - self-custody wallet with dex integration","111","₳16,975,218","₳7,339,307","NO","₳36,500","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano Smart Contract Templates Library","134","₳16,863,163","₳9,159,737","NO","₳90,000","NOT FUNDED","₳11,166","Approval Threshold"
"Next-Gen Testing Sandbox for Plutus: Smart AI for Developers","120","₳16,755,256","₳13,309,059","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Sky Protocol - Implement a minimal decentralized network","130","₳16,657,407","₳10,227,979","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
