"Proposal","Votes cast","Yes","No","Result","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"NEWM - Stream Token Analytics Integration","574","₳126,761,306","₳163,986,281","-₳37,224,975","NO","₳1,260,000","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Developer Training Program","326","₳36,108,608","₳73,866,018","-₳37,757,410","NO","₳60,000","NOT FUNDED","₳32,092","Approval Threshold"
"Db-Sync Enterprise: high-availability setup of Cardano's Db-Sync to run queries and access on-chain data as a service","256","₳22,414,782","₳61,686,301","-₳39,271,519","NO","₳24,000","NOT FUNDED","₳32,092","Approval Threshold"
"Blockchain 4 Good Research","266","₳25,554,879","₳65,999,122","-₳40,444,243","NO","₳46,000","NOT FUNDED","₳32,092","Approval Threshold"
"NuNet: Enabling Elasticsearch Clusters on decentralized hardware // Elasticsearch is a fast and scalable search and analytics engine, providing powerful analytics and visualization tools. NuNet will enable running it on its decentralized network.","493","₳101,210,174","₳142,773,452","-₳41,563,278","NO","₳293,600","NOT FUNDED","₳32,092","Approval Threshold"
"[Fimi] Comprehensive information portal about Cardano for the Vietnamese community","362","₳28,453,031","₳72,773,280","-₳44,320,249","NO","₳36,690","NOT FUNDED","₳32,092","Approval Threshold"
"Promoting Cardano in Mainland China","350","₳39,442,213","₳84,283,151","-₳44,840,938","NO","₳40,000","NOT FUNDED","₳32,092","Approval Threshold"
"Cost-Effective Amazonian Solar-Powered Servers: Empowering Cardano Community as Global Blockchain Nodes","272","₳34,022,061","₳79,068,381","-₳45,046,320","NO","₳40,000","NOT FUNDED","₳32,092","Approval Threshold"
"NEWM Academy - Learn-to-Earn Education Platform","521","₳114,309,782","₳159,469,812","-₳45,160,030","NO","₳787,879","NOT FUNDED","₳32,092","Approval Threshold"
"Stellar Contracts: Open-source next-generation library for great contract architecture","361","₳64,595,622","₳115,583,776","-₳50,988,154","NO","₳112,111","NOT FUNDED","₳32,092","Approval Threshold"
"Passkeys as Read Only Wallets","247","₳19,851,980","₳71,025,197","-₳51,173,217","NO","₳50,000","NOT FUNDED","₳32,092","Approval Threshold"
"Buy or Sell $ADA On WhatsApp & Telegram by Automated ChatBot / On-Ramp and Off-Ramp Crypto Fiat/ADA ($BRL <-> $ADA)","507","₳41,771,554","₳95,384,845","-₳53,613,291","NO","₳196,071","NOT FUNDED","₳32,092","Approval Threshold"
"Scalus - multiplatform Scala implementation of Cardano Plutus","334","₳61,803,765","₳116,638,145","-₳54,834,380","NO","₳290,400","NOT FUNDED","₳32,092","Approval Threshold"
"GameChanger: File Storage Protocol over Cardano - Enhancements and HTTP API Servers","453","₳90,414,046","₳148,676,289","-₳58,262,243","NO","₳258,397","NOT FUNDED","₳32,092","Approval Threshold"
"[Fimi] IOG's Research Paper for Vietnamese Developer","431","₳78,190,890","₳138,848,641","-₳60,657,751","NO","₳112,720","NOT FUNDED","₳32,092","Approval Threshold"
"Building a financial ecosystem through digital identity and stablecoin for maximal social impact","508","₳74,186,325","₳139,850,374","-₳65,664,049","NO","₳300,000","NOT FUNDED","₳32,092","Approval Threshold"
"Automated Smart Contract Auditing Tool","369","₳56,963,994","₳122,713,981","-₳65,749,987","NO","₳184,600","NOT FUNDED","₳32,092","Approval Threshold"
"Spot Converter: Buy Cardano NFTs with Any Crypto","407","₳69,651,489","₳136,689,006","-₳67,037,517","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"Texting through wallets","317","₳15,335,865","₳85,025,040","-₳69,689,175","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"Open Source Cardano API and Webhooks","412","₳64,593,239","₳134,310,169","-₳69,716,930","NO","₳217,000","NOT FUNDED","₳32,092","Approval Threshold"
"Hardware-Secured Hot Wallets for Live Services (Dexes, Bridges, Side-Chains, Dapps, & more)","345","₳54,777,130","₳132,132,044","-₳77,354,914","NO","₳120,635","NOT FUNDED","₳32,092","Approval Threshold"
"Intergrate BitBox02 Hardware wallet into Cardano Wallets and Dapps","272","₳29,444,033","₳115,304,226","-₳85,860,193","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
