"Proposal","Link to ideascale","Yes","No","Result","Meets approval threshold","Requested $","Status","Fund depletion","Reason for not funded status"
"The We are Cardano Podcast","https://app.ideascaleapp.eu/t/UCNZPc4","₳12,042,556","₳71,458,141","-₳59,415,584","NO","$10,700.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Credmark Credit Score","https://app.ideascaleapp.eu/t/UCNZPdi","₳11,527,280","₳71,258,050","-₳59,730,770","NO","$53,500.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"FOX Rewards Fitness & Mental Health","https://app.ideascaleapp.eu/t/UCNZPdA","₳5,713,332","₳69,232,753","-₳63,519,421","NO","$11,309.90","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Decentralised Funding - Report","https://app.ideascaleapp.eu/t/UCNZPcm","₳4,982,127","₳68,869,547","-₳63,887,420","NO","$29,600.91","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Independent token-incentive blogs","https://app.ideascaleapp.eu/t/UCNZPdU","₳5,654,960","₳69,795,455","-₳64,140,495","NO","$4,066.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Encouraging Wider ADA Distribution","https://app.ideascaleapp.eu/t/UCNZPdm","₳5,523,412","₳70,856,171","-₳65,332,759","NO","$37,450.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Easy remittance payments","https://app.ideascaleapp.eu/t/UCNZPcy","₳7,815,876","₳73,321,681","-₳65,505,805","NO","$1,070.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Cardano and FP in Malawi","https://app.ideascaleapp.eu/t/UCNZPdQ","₳9,779,070","₳75,768,551","-₳65,989,481","NO","$53,500.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Wallet lottery to increase Fin. ID","https://app.ideascaleapp.eu/t/UCNZPde","₳4,422,900","₳72,423,768","-₳68,000,868","NO","$42,800.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Cardano Social & Economic Ecosystem","https://app.ideascaleapp.eu/t/UCNZPdP","₳3,383,148","₳71,678,853","-₳68,295,705","NO","$36,380.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Support Cardanoscan.io with Funds","https://app.ideascaleapp.eu/t/UCNZPcu","₳19,908,894","₳89,241,855","-₳69,332,961","NO","$96,300.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"WBP - World's Best Publisher","https://app.ideascaleapp.eu/t/UCNZPda","₳8,360,978","₳78,737,921","-₳70,376,943","NO","$29,960.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"ArtDapp - Powered by Cardano","https://app.ideascaleapp.eu/t/UCNZPdf","₳10,669,951","₳82,218,351","-₳71,548,401","NO","$69,550.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Cardano Community Council (CCC)","https://app.ideascaleapp.eu/t/UCNZPdS","₳3,393,808","₳78,153,396","-₳74,759,588","NO","$53,500.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Small Sat Telescopes on ride share.","https://app.ideascaleapp.eu/t/UCNZPdD","₳2,566,717","₳77,659,400","-₳75,092,683","NO","$53,500.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Trusted Sponsorship System","https://app.ideascaleapp.eu/t/UCNZPcw","₳2,039,833","₳77,361,984","-₳75,322,151","NO","$53,500.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Decentralized support","https://app.ideascaleapp.eu/t/UCNZPdg","₳3,111,447","₳81,181,105","-₳78,069,658","NO","$53,500.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"A SONG FOR CARDANO","https://app.ideascaleapp.eu/t/UCNZPdb","₳4,274,315","₳83,466,203","-₳79,191,888","NO","$10,700.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Cardano Hub","https://app.ideascaleapp.eu/t/UCNZPdF","₳9,798,265","₳91,091,079","-₳81,292,814","NO","$95,111.02","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Solar Power Plants development","https://app.ideascaleapp.eu/t/UCNZPdl","₳1,888,621","₳163,383,132","-₳161,494,511","NO","$267,500.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Make Ada brand world recognised.","https://app.ideascaleapp.eu/t/UCNZPc0","₳5,342,524","₳171,261,093","-₳165,918,569","NO","$214,000.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
